Body. SootClass: org.sipdroid.sipua.ui.Sipdroid$7, SootMethod: <org.sipdroid.sipua.ui.Sipdroid$7: void onClick(android.view.View)>, Stmt: virtualinvoke $r2.<org.sipdroid.sipua.ui.CreateAccount: void setOnDismissListener(android.content.DialogInterface$OnDismissListener)>($r4)
Body. SootClass: org.sipdroid.sipua.ui.Sipdroid, SootMethod: <org.sipdroid.sipua.ui.Sipdroid: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r8.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r11)
Body. SootClass: org.sipdroid.sipua.ui.VideoCamera, SootMethod: <org.sipdroid.sipua.ui.VideoCamera: boolean initializeVideo()>, Stmt: virtualinvoke $r10.<org.sipdroid.sipua.ui.VideoPreview: void setOnLongClickListener(android.view.View$OnLongClickListener)>($r0)
Body. SootClass: org.sipdroid.sipua.ui.Sipdroid, SootMethod: <org.sipdroid.sipua.ui.Sipdroid: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r8.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r10)
Body. SootClass: org.sipdroid.sipua.ui.Sipdroid, SootMethod: <org.sipdroid.sipua.ui.Sipdroid: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.AutoCompleteTextView: void setOnKeyListener(android.view.View$OnKeyListener)>($r6)
Body. SootClass: org.sipdroid.sipua.ui.CreateAccount, SootMethod: <org.sipdroid.sipua.ui.CreateAccount: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r5)
Body. SootClass: org.sipdroid.sipua.ui.InCallScreen, SootMethod: <org.sipdroid.sipua.ui.InCallScreen: void initInCallScreen()>, Stmt: virtualinvoke $r3.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: org.sipdroid.sipua.ui.Sipdroid, SootMethod: <org.sipdroid.sipua.ui.Sipdroid: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.AutoCompleteTextView: void setOnKeyListener(android.view.View$OnKeyListener)>($r4)
Body. SootClass: org.sipdroid.sipua.ui.CreateAccount, SootMethod: <org.sipdroid.sipua.ui.CreateAccount: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r4)
Body. SootClass: org.sipdroid.sipua.ui.VideoCamera, SootMethod: <org.sipdroid.sipua.ui.VideoCamera: boolean initializeVideo()>, Stmt: virtualinvoke $r10.<org.sipdroid.sipua.ui.VideoPreview: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: org.sipdroid.sipua.ui.InCallScreen, SootMethod: <org.sipdroid.sipua.ui.InCallScreen: void onStart()>, Stmt: virtualinvoke $r2.<android.hardware.SensorManager: boolean registerListener(android.hardware.SensorEventListener,android.hardware.Sensor,int)>($r0, $r3, 3)
Body. SootClass: org.sipdroid.sipua.ui.Sipdroid, SootMethod: <org.sipdroid.sipua.ui.Sipdroid: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.AutoCompleteTextView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r7)
Body. SootClass: org.sipdroid.sipua.ui.Sipdroid, SootMethod: <org.sipdroid.sipua.ui.Sipdroid: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.AutoCompleteTextView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r5)
Body. SootClass: org.sipdroid.sipua.ui.Sipdroid, SootMethod: <org.sipdroid.sipua.ui.Sipdroid: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r8.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r9)
